Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_Hc_min,sigma_H1_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_Hc_min,epsilon_H1_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_Hc_cum,sigma_H1_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_Hc_cum,epsilon_H1_cum,epsilon_H_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
11,143,85357.26352379966,3.3252587187858413,3.4107951651380053,2.593995409587395,2.3406977067273558,1.8817153696609343,2.941162482529198,54.41493660742324,49.91589019864762,10.87380317320726,11.38191878615384,15.0,26.640848423702053,85357.26352291161,3.325258724962433,3.410795118080604,2.5939954154729934,2.3406977090307377,1.8817153706166316,2.941162485177427,54.414936557111815,49.91589292813811,10.873803010424892,11.381918757063897,15.0,26.64084842831804,3.0840828235876674,1806.85271984074,243.8570030032058,19.64632514406865,18.766317703396822,5372.058213838606,3704.6450992525406,148.82258210728247,146.0957034191122,280.75148200613,151.7126818017962,386.5729619438448,20.513612707003336,698.8258684287833,477.46953651026143,93.22747558434226,27.36638108437728,88.14688150181188,361.1360106174368,79.3693763277683,4.5295217608024405,203.86377736668385,156.38667453242854,6.6517895010736,22.47963908070293,309.2217669524482,186.38255218385,138.20403997343803,128.2110623027912,17273.023469063985,9751.427454381086,1338.0976925799423,2555.302067279816,147.0,1911.0,78941.52519283534,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,80,85357.38983606346,3.3253095045694616,3.4114452679036744,2.594974880225081,2.341226794830673,1.876120873261516,2.941156948910983,54.40631655649961,49.88043722665261,10.87765778310086,11.38042732830256,15.0,26.635936646985368,85357.3807571948,3.325316968186806,3.411453216603466,2.5949810466892016,2.341231532286245,1.8761229914250568,2.9411509859269898,54.40656663525732,49.88066181745346,10.877634567704934,11.380406944305252,15.0,26.63600217596429,3.0373956612899,1761.7330574725102,241.52863961890623,19.281576221940146,18.65669478024323,5362.509632523072,3697.77072853289,148.0795367130038,144.55368516883843,283.0648770995522,153.70875684731269,387.1589237400328,21.006275323148103,698.4124274514892,476.10185926020273,93.46399577370784,27.40571084074256,88.39053161895333,362.8528682286311,79.07752073064412,4.480061933595944,203.7269002953184,156.38901428366046,6.602244831179667,22.15860150185688,306.16076461841647,184.3948855257032,137.5888634565458,128.81862116623785,17297.656185403597,9766.692973374924,1340.6122979267964,1830.878826379776,106.0,1378.0,83227.64654438206,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
1,124,85357.63682338147,3.324700466243709,3.4108460142165327,2.593359386929671,2.3410052494175697,1.8770070381357264,2.9412899537240254,54.44498729820387,49.89749653963001,10.875572093546674,11.382793584954577,15.0,26.64364123380224,85357.63647504701,3.324700397575167,3.410851478649169,2.593356693187971,2.341006740600748,1.8770053193372689,2.941290000131698,54.444946624079776,49.8971697368126,10.875576705156735,11.382795587166294,15.0,26.643653407245257,3.060615856835369,1800.2319586895285,244.31347021994165,19.67282818162574,18.57949251479659,5333.123209464726,3679.016314412973,147.03489626213127,147.84322500266177,282.3661975002967,152.73818372478283,388.6044005390696,20.34114618477676,700.6394593229799,479.1604299086653,93.4266562602126,27.2745787493427,87.83498900383056,360.3443221734507,78.85458379154124,4.459915220776932,203.75424919805783,156.51871542905175,6.560538724622811,22.485402002289,307.1844056233388,185.11148148125616,137.79615510726848,128.0480762878939,17258.216669677735,9743.914367972777,1337.1747281284363,2400.656372785568,134.0,1742.0,75989.52350418603,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,163,85357.65424764673,3.3252412821804205,3.408059865948976,2.59342168651332,2.3404007568249834,1.882654112735215,2.94118780772683,54.42113411491646,50.08685749885549,10.864968030762038,11.38093943628838,15.0,26.637869522077217,85357.6452480669,3.3252852589627446,3.4078906089399514,2.59345066663304,2.340465493866834,1.8826921680768451,2.941222848197131,54.42095656405651,50.09193690051605,10.86509106652634,11.38081716934892,15.0,26.637469224001,3.066451440574353,1792.834685647913,243.4129683680737,19.551707015133974,18.79838270560837,5376.351676986993,3707.628321972912,149.07938850601792,146.36458092077456,273.9191557028513,146.69736965219835,382.86214205603625,19.7768414423438,697.9130526903347,477.96132643528006,92.63546604890412,27.518223990894136,86.417496814754,360.90134374796025,79.34515578652085,4.614165304915417,204.69851558089897,157.2812213190481,6.591506567175949,22.882754486807787,312.28424006556736,188.23179039735956,138.68370441057775,128.0515809953928,17267.80926834711,9748.888366103074,1337.8711493321744,2782.5969851017,169.0,2197.0,78891.75763996548,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,135,85358.5676859963,3.324407572270871,3.412830025492546,2.591144480867258,2.340842071398222,1.8817523948783177,2.94123265652369,54.4467836877613,49.76032885920395,10.87921927856414,11.385260174727064,15.0,26.64689490539712,85358.56723278441,3.3244094610342905,3.412837419509493,2.591150981580308,2.3408400682820387,1.8817607328694996,2.941232835051175,54.4468147061764,49.75989226833928,10.879246654850004,11.385208922395307,15.0,26.646877276498767,3.063958722960345,1793.7947755795703,243.4707171014209,19.563352042842062,18.695546839290643,5353.888355181842,3693.309234326846,148.04528122024382,152.07041727129877,282.0307660583895,151.9428980234169,390.8854945069886,19.75534885813883,698.0236705018468,479.1331476807025,92.5565529638658,26.938236429793637,88.26681617477624,354.2647084587843,78.37423421749872,4.40039930564339,203.22333044734532,156.11442854115927,6.545734984763463,22.78170006469017,307.1575682128068,185.35320290991652,137.9101388546148,127.81893932895728,17272.57889291122,9749.675609096552,1337.3682877657177,2505.087896347046,141.0,1833.0,76431.3196752764,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,119,85358.67118403496,3.3270647180299355,3.413850108823687,2.5938795738863347,2.3427174514540074,1.8789557874849572,2.9410703057152423,54.33922198157147,49.74560525381845,10.871537652547197,11.378066910251905,15.0,26.62532999927344,85358.67109473777,3.327064806780654,3.4138518564456755,2.593880060266893,2.3427173574162325,1.878955106574194,2.941070301915388,54.33922591570804,49.74552458435008,10.8715438263445,11.378070276334707,15.0,26.625326208094744,3.0736349486346155,1793.2823760496758,242.8598865020288,19.54007178314308,18.89560802744596,5414.453492435232,3730.922802417632,150.44157195582278,145.25276277079942,283.02968463742764,152.773460259692,386.1151170777011,21.191802985864943,704.4403464095603,481.2379973018786,94.5820620604016,27.126715687453306,88.86700861202692,357.9350611114226,78.53228620249813,4.351043486017368,203.1448743984136,156.0561450325677,6.530005796383931,22.11552661419846,302.7418142176687,182.3805599202113,136.8099073182442,130.41999332432684,17292.213917982717,9767.772750620928,1341.7513715649577,2340.6685733795166,128.0,1664.0,75438.87900108787,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,115,85359.11270160745,3.3267055629105444,3.4092379232979115,2.5934820289518576,2.340271910664841,1.8791700257251869,2.941083683006461,54.31023875915939,50.001858761197326,10.87451960915357,11.37692843097754,15.0,26.640589266593715,85359.11257522156,3.326704111475518,3.409242811130687,2.593480305382072,2.3402724310917407,1.8791741480441069,2.941083180120244,54.31020571198547,50.00144526261249,10.874569049099474,11.37692793361345,15.0,26.64060394866474,3.071108061427485,1797.4616767282812,242.29401953485765,19.584270780487,18.93165533764658,5431.838342716572,3742.2101131262175,150.89929584937013,145.25712831020414,274.69866336322934,147.2798046516168,382.5819665026653,19.888491354926003,694.0334543857693,474.8043084238661,92.0272588219588,27.514149317142632,86.97268842665659,361.5896927864714,79.08262726935283,4.584059483371163,204.56493521339385,157.2912343498921,6.540469870081217,22.769676072698843,310.5092049253683,187.18282509167992,138.4656150633801,129.63598685918487,17373.63620372004,9806.586746195686,1345.8498934816805,2257.8116710186005,126.0,1638.0,73359.55571758645,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,166,85359.37433785269,3.323822479189571,3.4085976107930187,2.594439730306449,2.3407206703696017,1.8796349523529452,2.9413010088138574,54.49464372779888,50.04301930350514,10.872630584255043,11.382520280213251,15.0,26.64253598864158,85359.37433684681,3.323822480739228,3.40859758887603,2.5944397198678937,2.340720668971992,1.8796349540437003,2.9413010065208645,54.49464370192712,50.04302039234466,10.872630579666342,11.38252025822901,15.0,26.64253602509889,3.0383333743849392,1772.495280741878,243.188786271156,19.415059986230077,18.556655103531085,5318.271941359962,3670.35027683971,146.60859482154837,146.3405529637413,280.69189141698763,152.06024437215683,387.3648568012266,20.3197729064098,699.2753473111908,477.5639248113067,93.21795874037312,27.441110028276945,86.7864180429191,361.2014619204814,79.19760193523587,4.548862648987657,204.39231658948407,157.0512741774831,6.571352697367706,22.505141181424232,309.17237026699115,186.20278979002128,138.12337544819584,127.35716550491016,17236.820425221522,9732.472365412226,1335.6625484416195,2541.9138884544373,173.0,2249.0,74702.84308759146,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,89,85360.09565626807,3.3238254137236267,3.4140461514851053,2.5927490175162093,2.339528900103779,1.8781365418568297,2.9413243973324343,54.49942014566529,49.70743586702835,10.880403779008825,11.384877231523776,15.0,26.64470228974434,85360.09349242155,3.323825347874609,3.414045873189674,2.592748493994013,2.339531832593043,1.8781366196808995,2.9413230117693305,54.49942510781638,49.70747446364554,10.880434289358218,11.384918961257178,15.0,26.64461137094185,3.058850472677248,1795.6782229935957,244.5452481326317,19.62071158962895,18.49237708513606,5303.043617336749,3660.187614939234,145.95404867973664,150.3149544375582,288.51483114983193,156.976131704332,393.5143753954309,20.59823024383509,698.4615547076047,477.8679819935646,93.17501486776396,27.03240818270009,89.88571921302918,359.5236291516031,78.97304103055514,4.45528182136886,202.66283424982296,155.17764110255146,6.739799492147991,22.347715036625523,307.0853009324212,185.2506515382369,137.9075851649356,126.4372471839382,17218.5714593103,9719.123908168824,1333.035546023249,1650.948224067688,96.0,1248.0,79541.3551721616,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,94,85367.64228847,3.322362769215484,3.4081159741222846,2.5941968434238385,2.3392622367705886,1.8857963986195692,2.9415173147358957,54.578563039105504,50.06778772709458,10.87232485110256,11.393034923948337,15.0,26.65520578010378,85367.52639012919,3.322514278284658,3.407947109487595,2.5943439498370098,2.3397112508358715,1.886290639384995,2.9414723875526883,54.57686664494052,50.08122577058073,10.871522860404376,11.39153816883327,15.0,26.65313601804958,3.058424251558932,1814.718026209644,246.8241500512251,19.86831398845133,18.53114392018981,5284.224310475584,3649.8118129038503,145.703097224965,147.99415424868417,281.84977487020285,153.02859390952335,389.505166994166,20.13907070293668,699.1507144740511,477.744725427841,93.088068425689,27.34875698058712,87.42357078924564,361.1544252280857,80.0022185985315,4.627984163305776,204.03789311538145,156.18528207524275,6.802882066170967,22.634632203541106,313.6911773718541,189.0707657595596,139.09718044905964,124.91468480248233,17160.390943152284,9683.387712140411,1326.941541369224,1820.3456852436063,102.0,1326.0,82085.03009662133,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,56,85488.75968574759,3.319167655030677,3.368230889962593,2.5893615123701847,2.331231015358281,1.8453671758998635,2.941977921704855,54.64737611589232,52.408427216325286,10.847642905054746,11.39712179685774,15.0,26.69070410416008,85488.75437260259,3.31917212595319,3.3682300091754493,2.589352404121483,2.3312306401339167,1.8453628752544693,2.94197702405099,54.647237546673615,52.40838931340915,10.84760647175081,11.397119411742995,15.0,26.69067942028916,2.9148323488412977,1737.6257574934843,244.30320867361,19.51715143779456,17.527323043609133,5074.9271800925935,3509.1685420911253,134.86391962656347,153.86842372441214,237.3800812799052,122.08820025517356,370.704009267623,12.24804038601297,668.4030164084112,467.4295061021268,83.76041933118591,29.68474603060432,68.19462364619885,361.7475409230176,76.57784325759977,5.759582747136517,214.3905644310341,170.13138765853145,5.535042948878795,27.053025260772685,340.1427527474274,205.0719998588662,142.52226611380922,120.3012563882782,17282.38282328631,9730.464811842066,1329.2169702051106,1175.0389575958252,65.0,845.0,112765.6921573852,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
