Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
36,55,24774.06350603279,3.4737996733993985,3.2609253454487663,3.510801649547895,2.643494946944008,2.7752903180660455,3.863722233273081,2.9289414806463645,45.707654306272225,65.33116958219121,41.89679200326489,10.000000000000002,41.837164813371736,26.003181563991767,26.202989052756216,24774.059179658332,3.473807031979198,3.260922206656749,3.510801865685356,2.643487233357597,2.7752887928150978,3.863722233273081,2.9289413290016326,45.707208290019544,65.33115117986644,41.89673129181835,10.000000000000002,41.83721493840618,26.003181563991767,26.203042847981404,1.2323788186820779,186.44850557238556,318.35247069211135,5.975559759274429,43.62070818712945,1051.8117020045015,1014.1573198263435,30.406408371909638,10.387928418212242,1831.2754668925586,1377.5382423946442,49.816449782646636,1.3949300928168076,102.57919149208163,100.82386029821106,55.11453283997933,1.2304434527818089,226.37428850849014,242.3054538008953,0.34922811637208073,18.082862009239392,554.264240052999,141.43478821127397,111.08630652367235,455.1261465549469,61.0,915.0,936320.555129307,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,79,23063.140216782962,3.465668796521997,3.508606211658692,3.2553731862162536,2.6127802496257004,2.7673754367339565,3.2561523966147004,2.9295958445626042,45.923666934336666,49.875831758109236,57.20530578969338,10.000000000000002,42.428889931669396,45.256780051911,26.271196876044808,23063.140041065584,3.465668870128094,3.508606136760725,3.2553732125222474,2.612779906726233,2.767375472352547,3.2561523966147004,2.9295958365153045,45.92366939843153,49.87583251899829,57.20530641597725,10.000000000000002,42.428887087982154,45.256780051911,26.271195180165673,1.2113263607946765,181.88260645507432,298.62164894040603,5.921627837023053,19.173491821385156,686.5014851257838,651.2542032129803,13.29495576985114,4.759634400724504,2090.7150322603616,1581.4133457887906,48.572423782445604,9.348012288848754,25.281312428084806,28.722269882785728,33.58618501482191,1.5172834012345966,207.99881686741043,184.5903895515271,5.3183539483075215,9.07626635669381,206.5702002680481,36.90591645195273,59.73900168125998,638.2411267757416,85.0,1275.0,958023.4646160107,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
22,77,23496.836365383406,3.470957870245737,3.3381352788776675,3.2792477096111607,2.6341321095929926,2.744810180934511,2.363225702661527,2.9291687926879737,45.737096622335706,59.75044850307764,55.38390638240786,10.000000000000002,42.53661284753303,27.081021790432523,26.24328541857575,23496.833282490385,3.4709568878834363,3.3381362944799657,3.2792474646849232,2.6341341342307683,2.744799926879712,2.363225702661527,2.9291689640020495,45.73706226163671,59.75045669090123,55.38390882177065,10.000000000000002,42.536538036975124,27.081021790432523,26.243304957548073,1.2294408436149535,187.85266883949322,308.8959300761984,6.0127517587379185,17.49414976115513,746.0884528697185,700.3876722346204,13.069576355986927,8.137738293348367,1953.6931863613606,1472.4524518522944,51.540554235315255,1.0681240511529113,59.77396696268447,69.86852098659463,55.67716990705322,1.2321220704142763,231.91444090648997,202.2614505123902,5.978756292780995,14.723071355263281,309.24342647469877,64.53697311258809,70.74616848493496,625.6670289039612,83.0,1245.0,913975.5787269599,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,80,23488.114671556927,3.4680436925221314,3.337991149061957,3.301680339499539,2.6310969618009583,2.751610966878393,2.221782601488058,2.9292596809244826,45.830477002825575,59.72869496378663,53.64240270693516,10.000000000000002,42.44945065750692,29.55470513936346,26.25857908470563,23488.11333500279,3.468042142899372,3.3379908176388833,3.3016859086819235,2.6310976675866544,2.751610821463499,2.221782601488058,2.9292601735718966,45.83050726694857,59.72870781348864,53.64198772416558,10.000000000000002,42.44950169798931,29.55470513936346,26.258586737451015,1.2250889000801992,180.62807797651277,304.20404533770113,5.871045139632363,19.375081733480567,750.2228814275754,720.9809431270191,13.910946717498136,7.249706721080949,1980.477497604532,1493.319794620974,51.11117976520339,0.881915421021922,59.64502874353532,71.63962040403848,57.596012038914694,1.0901407476183806,247.28456311813275,213.79328972838778,5.713420311871012,15.203744422632983,318.01946759092056,63.037237660398006,72.77057206889138,639.0684244632721,88.0,1320.0,911832.8818490877,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
31,76,23322.95538114955,3.4758807006150083,3.5872526191541647,3.2049637103307793,2.6081356576124333,2.761142823087428,2.2266838455351805,2.92887039719722,45.60167848020216,46.592774230649724,61.54041514692965,10.000000000000002,42.336904490235106,31.732537735124087,26.204739396351616,23322.95437921394,3.4758791236566147,3.5872527373116214,3.204963882006761,2.6081335886384522,2.761141666190609,2.2266838455351805,2.9288702283156316,45.601787577495344,46.59280195179062,61.54046487145062,10.000000000000002,42.33680863648456,31.732537735124087,26.20471477490972,1.2306271869626375,190.59080851614394,320.35290485787164,6.075988049174932,17.173232136244795,726.3308592791146,639.7112525296341,15.159982495299545,4.7450487821633,2094.628387254953,1589.2523122747227,48.93029466978077,21.501823819906228,15.53696253030997,8.085404571701503,28.364487183640996,2.4363201732317044,182.91394007618925,225.81578337888465,4.222076948713125,6.218728931487023,152.24749170817176,30.286656665291616,54.60278733456168,637.5571739673615,84.0,1260.0,932713.0260026737,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
25,80,23172.0604094501,3.4582755454486436,3.6825708967316233,3.22163047391989,2.595709931188572,2.758517844793462,3.8996119827072526,2.930220602311312,46.20448955577318,43.04349346056821,59.87130840235226,10.000000000000002,42.1526334003066,42.98653416076098,26.320209469658575,23172.05957720496,3.4582772951188683,3.682569358750624,3.221630333528716,2.5957092654381126,2.7585109235136835,3.8996119827072526,2.9302205810818016,46.2043514355397,43.04353697678994,59.87132171556211,10.000000000000002,42.1525824402485,42.98653416076098,26.320236439572014,1.262807587138599,209.02412307576012,279.8680703018697,6.237980423218675,11.273614676137644,608.8749932284729,621.7796584583009,11.210037609133074,5.0230811392954315,2195.781588021197,1660.4519591441044,45.15086428750325,51.99033029027987,19.32310180582985,8.192896327019232,11.189182266487087,2.566729352337689,192.83520183028548,200.35842166209625,4.888827318216467,2.784899445581371,129.83414844832666,17.285468776012987,51.576706443111206,665.4390425682068,88.0,1320.0,953479.5196919575,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,102,23007.11470188038,3.466492719347482,3.5282918210318854,3.2687420246308276,2.6088803351570173,2.7596101012428194,2.1846771895375956,2.92951569578505,45.91344633382636,48.980374791931325,56.16475330468635,10.000000000000002,42.34730982360849,22.155828740603113,26.26436640179424,23007.114191166256,3.4664887753293256,3.5282892844517555,3.2687397185878426,2.6088800433829142,2.759615270650234,2.1846771895375956,2.9295171362106256,45.91347288141121,48.980376020215175,56.16476242284355,10.000000000000002,42.34739091399822,22.155828740603113,26.264367696627374,1.2374223594194433,191.6892101080644,299.51894750627736,6.03566027942293,15.371415655635492,670.7014022835169,638.2487510867132,12.758313256230384,4.555790345936012,2099.472350374814,1589.4081631948957,47.631480251494196,10.75456075659368,20.755609662594527,23.40395471562595,32.82562793448743,1.622095148958912,215.47664073409328,183.92613084185507,5.455595689995954,8.576724722775314,209.0515417909049,34.760863823425865,60.074116865483965,831.0105004310608,110.0,1650.0,960015.3308840886,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
42,67,23883.30709495676,3.4651952982404675,3.2684314149925466,3.360983416631462,2.642337477010858,2.753529718509189,2.7048592604328174,2.929507682036974,45.99967588058886,64.76275713735909,49.724913684667925,10.000000000000002,42.52568722294315,43.269444318927334,26.2516691280814,23883.306827847155,3.4652030528933944,3.2684359302416603,3.360982727942949,2.642333708580872,2.7535547500824356,2.7048592604328174,2.929509181640041,45.99962845557497,64.7629248040081,49.7248390323877,10.000000000000002,42.5257042863325,43.269444318927334,26.251637927897633,1.220360048265682,178.48321250204265,301.20607061282846,5.813326001025876,22.884308595785452,741.9593489734966,741.2714897233722,13.221544288100933,9.009093371642678,1847.7303673129527,1390.1212006372846,48.83911111218934,1.3117418999729686,95.52620634289804,95.88209317142497,55.9362760875539,0.892898243018588,257.9338080635802,233.96901677826582,3.5873646126376837,15.684982902912445,369.4466342373247,72.93096968090721,78.51731112745048,539.3583040237427,71.0,1065.0,921306.9431692067,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,89,23094.45678801668,3.469085886153807,3.552422849698331,3.361540587963812,2.602052281436782,2.7565605629745478,3.7097958853948043,2.9293289675630296,45.818365313664835,47.829554850313016,49.68405708866127,10.000000000000002,42.414980068874456,34.91002967466505,26.251155731774706,23094.456317479646,3.469084816413444,3.5524233773357077,3.36153865341351,2.6020540848417886,2.7565748306174758,3.7097958853948043,2.9293290612808995,45.81836064613537,47.82954752613833,49.68408540726489,10.000000000000002,42.41513199064637,34.91002967466505,26.25117347085635,1.2390694254850927,192.60827966007793,304.62197766341404,6.063651764608182,12.289862224138265,638.7526565581111,584.759803388084,11.590786915140335,4.497497353684217,2158.4393440227914,1635.9053119805194,48.030048399655264,13.489734131061159,27.889640824957137,22.528799752269574,27.04432206326741,1.049997329292466,227.06993711791742,189.20431541933237,3.0873581858610484,7.678261748982148,223.751438523031,34.63791453026174,63.337816907535355,721.8010296821594,95.0,1425.0,976415.1219867332,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,114,22961.76032715366,3.466878911890287,3.5916081112870932,3.2809638815743436,2.6034641133159204,2.7591308915661923,3.2433914404182436,2.929526847359574,45.93887364378799,46.28708288644901,55.24245755292893,10.000000000000002,42.30566146695112,46.61828321967889,26.249899172913103,22961.760287821475,3.466879027363661,3.5916083154041822,3.2809636023460294,2.603464252433878,2.7591323738364206,3.2433914404182436,2.9295268513328625,45.938871300936306,46.28708389766602,55.24245688624515,10.000000000000002,42.30567283327941,46.61828321967889,26.249901749998894,1.237248625134857,192.28779891242476,301.6129459779269,6.042128472565025,13.660711799703012,644.4001701008486,611.9303269951516,12.228349757352648,4.415193536802267,2098.659017148825,1590.5865983813046,45.68185654308106,22.543714025261988,26.863715621389915,12.830808999742569,22.735989636549014,1.6554268502984797,219.9579231474366,182.1742766616887,5.341604632138095,5.7417201512975575,181.6094081466996,25.492138821745826,55.99501372024443,878.1112008094788,121.0,1815.0,962766.0068142718,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,110,22988.933558738943,3.478616608930951,3.6249173156137364,3.2972169066384316,2.599403416214612,2.7700572275148936,2.7145395200049993,2.928736272647301,45.48230896156287,44.97473823849376,54.18945402485125,10.000000000000002,42.38579355488254,21.0319177920865,26.192636222602935,22988.920150393962,3.4786123820763617,3.6249159010413825,3.2972179428370985,2.5994012585508557,2.770059047577692,2.7145395200049993,2.9287358969150357,45.482453273235684,44.97468412683387,54.18940451526951,10.000000000000002,42.385669093341356,21.0319177920865,26.192669005982413,1.193896137403818,178.89277904957407,327.3295093500146,5.97155834192044,18.160984154460987,721.9219103477367,603.8182687629703,15.659623634794254,4.566251716780425,2195.0187406443024,1667.731960567989,50.51456305750499,31.596333744281434,32.553164548017904,12.395332596543145,16.637312174845402,1.5308178474572565,217.3740419409579,173.1121048784619,4.639684112268603,4.603596555330814,174.2125428858392,22.220242474855922,54.35650075497163,888.2333607673645,119.0,1785.0,1013145.8315516798,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,124,23256.748214173967,3.4680305610337774,3.403813915529475,3.286152289887763,2.628997879575074,2.7482492226900117,3.066330569946034,2.929356072731568,45.85345786534811,55.541263687467136,54.90132534088313,10.000000000000002,42.588936580072996,49.61013811172732,26.246777606503517,23256.730834750862,3.4679907489168555,3.4037880845284874,3.286165721027974,2.628985061836644,2.748034782091835,3.066330569946034,2.929366577954054,45.85572170501262,55.543979336534015,54.90118648282391,10.000000000000002,42.586532969927894,49.61013811172732,26.247855732314154,1.1886795397139684,168.89864661966726,306.7879842388037,5.742605165161518,16.194182475251026,693.8459197217182,658.0136159225369,11.595604492816257,6.730440582761807,1970.008781045873,1486.6376227169296,49.838308736188694,2.9047402737145402,42.41304281258888,53.21637025530882,46.449127378086956,1.2406994020603324,225.8014217401382,193.66579733662314,5.491132081997494,12.387908372599496,263.4294905886538,50.69096065962544,67.88473459059196,1007.6036591529846,133.0,1995.0,923821.0777040975,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
28,91,23849.19803675065,3.467117793639675,3.2637377083070818,3.2817531336692514,2.647186796533829,2.7427250923639903,2.4078124504662437,2.9293157316572933,45.81976727555935,65.3273843184271,55.355076466723446,10.000000000000002,42.52830045942189,22.41860576252866,26.274441671863883,23849.19582497902,3.4671204389283123,3.263735546694349,3.2817488523345197,2.647188335296681,2.7427302407218503,2.4078124504662437,2.92931580751915,45.81985813231282,65.32762920969338,55.35526322957783,10.000000000000002,42.52840927059605,22.41860576252866,26.274395466685064,1.2043285655823606,172.58956313989566,301.98940806601064,5.7769710636668865,21.139044498802143,799.8163372214138,785.5532332854958,13.977129429550722,11.53074304306892,1934.7354163939146,1451.04044495994,55.10775692775118,1.1436520233930354,78.76031153236286,86.65357054039498,59.88818990520185,1.094756478467527,225.15667186125668,197.29920678371002,5.448841579210832,15.570410695812823,385.24772651247537,86.65757768168154,75.05251936803326,854.7073667049408,113.0,1695.0,927706.5120473776,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
43,75,22969.35109086719,3.464137102622228,3.6104334207716757,3.2940951468014177,2.5958246939819407,2.7686954621165865,2.442793401816402,2.9296909739582313,46.03286941677463,45.531317116338265,54.222594973698236,10.000000000000002,42.288049829718844,38.60974083171937,26.267122938606146,22969.35109086719,3.464137102622228,3.6104334207716757,3.2940951468014177,2.5958246939819407,2.7686954621165865,2.442793401816402,2.9296909739582313,46.03286941677463,45.531317116338265,54.222594973698236,10.000000000000002,42.288049829718844,38.60974083171937,26.267122938606146,1.2450553924265226,194.25193781246145,295.67257610189836,6.040509515960913,14.569506250340643,620.0063766548885,593.825842176829,12.088804027813659,4.761568875734625,2159.918039415154,1636.5384984678735,44.863727533733496,24.456405288285993,25.919451932811633,12.20144876204958,20.32607311596945,1.544054392792392,221.47198456454652,179.16423955100902,4.929535369883839,5.4929755654951595,186.9922831836706,25.083930451770637,56.24113179037875,708.1847515106201,95.0,1425.0,973600.9269430188,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,139,23197.30378221299,3.464352570385716,3.424025518868354,3.303068608352369,2.6246654730340016,2.747923975851003,3.6936576029800703,2.9296649075785974,45.99635698264051,54.311664171982315,53.60412952198279,10.000000000000002,42.43669088191737,17.45077503017278,26.268839068700544,23197.297356577943,3.464353220982143,3.4240313705753667,3.303063308077474,2.6246639288731948,2.7479165293550727,3.6936576029800703,2.929664953816534,45.99621872124853,54.31147324638245,53.60382859028117,10.000000000000002,42.43665404254886,17.45077503017278,26.2688215448669,1.210402914543223,179.58090060467345,297.4703718846467,5.86569498207449,15.039330239204725,679.9181024479719,671.8689343298541,11.637639100589809,5.704474031537029,1982.4315203582587,1497.0627721115961,48.147020971988645,3.536252294691998,39.310342174572355,50.254686528101224,43.46586397237179,1.1830939638622824,235.00175948966182,199.32804336802457,5.289757790492683,11.806911509691002,255.44312257252776,46.388197098194176,67.61858690166596,1080.132140636444,145.0,2175.0,924138.2730940627,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,78,23006.298155738907,3.4665596552974076,3.6940990887402867,3.273454406705885,2.597620088317077,2.7608353617027426,2.8281119756391364,2.929417453549408,45.916683933909155,42.63837546565036,55.79471947517544,10.000000000000002,42.31313551026071,48.06081645967847,26.26092929572892,23006.033543308433,3.466849716527514,3.694278844888726,3.2729329868484145,2.596909561180996,2.760920270342613,2.8281119756391364,2.9295575106556626,45.89223479440493,42.62771723354415,55.78805130288547,10.000000000000002,42.29688218872311,48.06081645967847,26.269154845712656,1.246159101397538,190.98611939813796,300.44259896823206,5.994816491105906,12.69320101700525,632.04582410653,593.4237265983925,11.947606579146264,4.611006798774694,2181.421664413736,1653.0204297563714,46.83507191893272,60.28115319326001,21.50192367810766,10.610657436190937,9.167773972744401,1.8867525675788737,214.84495170338533,177.98878645258944,5.264326567258902,2.049881715991307,141.74113472807906,15.535131266497272,50.77087138947429,1126.9906389713287,87.0,1305.0,964647.6423183179,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
48,60,24260.20978989801,3.4753644133140122,3.2926289395378228,3.4710823663618995,2.637713215668822,2.7241041076333623,3.1021743483739432,2.928997334912728,45.537099461832305,62.91794203036129,43.397372009851246,10.000000000000002,42.62285752018913,45.10829490980904,26.2160289632097,24260.19876325988,3.475360200596155,3.292628204446034,3.4710922055179765,2.6377216575627305,2.7240942172153275,3.1021743483739432,2.9289971926183087,45.537287390380044,62.91805070688497,43.39706408534438,10.000000000000002,42.62260783559426,45.10829490980904,26.216088507845306,1.1130414324976732,147.60560111528937,323.8363536432385,5.577799201659887,11.752499140019083,752.5655332809368,679.8000047899618,11.500145018351633,9.904858647294855,1981.1315061931357,1490.893495986189,54.985991835388674,1.1346207322630875,82.77254838378721,86.53076813167394,56.71552235573763,0.6757146866290438,264.2278483740935,262.0117112150119,0.8811719467656038,15.892202411444499,390.31451842430454,84.34144436095225,91.18315022139038,526.4091422557831,70.0,1050.0,937384.1910527399,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
37,119,23033.255049998494,3.4647668150230753,3.5551124892115284,3.331340980553006,2.5956590017016774,2.769417525141863,2.4807112496982775,2.929556550595564,45.95897661950746,47.648540537793025,51.62718457523305,10.000000000000002,42.32137665899065,33.16555944257876,26.280436314750244,23033.254209912353,3.464765283694901,3.5551035155858313,3.331341844347075,2.595660748900959,2.7694188764857284,2.4807112496982775,2.9295580762078837,45.95895183258885,47.6487536528165,51.62741024912067,10.000000000000002,42.32140440732637,33.16555944257876,26.280466796857567,1.2552990625161478,196.08157916688745,295.02546457596173,6.059161861947748,14.97978401511023,635.5223012824327,599.1494483875653,12.456754537849015,4.773484201429953,2219.1496996028604,1680.5002761402216,47.27876322300676,12.156541937824333,30.167118384944725,25.728871069842658,25.967797446531716,1.2307085890059193,224.34386172177477,180.77293401759974,3.819838111078588,8.32173895464678,225.12719748724055,33.675063845002,61.823613589883706,976.8652021884918,131.0,1965.0,994755.3019544506,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
